@relation cadences

@attribute VosCenterGravityfifth {True, False}
@attribute VosCenterGravityfirst {True, False}
@attribute VosCenterGravityfourth {True, False}
@attribute VosCenterGravitysecond {True, False}
@attribute VosCenterGravitythird {True, False}
@attribute VosHarmonyfifth numeric
@attribute VosHarmonyfirst numeric
@attribute VosHarmonyfirstsecond {-,=,+}
@attribute VosHarmonyfourth numeric
@attribute VosHarmonyfourthfifth {-,=,+}
@attribute VosHarmonysecond numeric
@attribute VosHarmonysecondthird {-,=,+}
@attribute VosHarmonythird numeric
@attribute VosHarmonythirdfourth {-,=,+}
@attribute ambitus numeric
@attribute containsleap {True, False}
@attribute contourfifth {-,=,+}
@attribute contourfirst {-,=,+}
@attribute contourfourth {-,=,+}
@attribute contourreversal {True, False}
@attribute contoursecond {-,=,+}
@attribute contourthird {-,=,+}
@attribute diatonicpitchfifth numeric
@attribute diatonicpitchfirst numeric
@attribute diatonicpitchfirstsecond {-,=,+}
@attribute diatonicpitchfourth numeric
@attribute diatonicpitchfourthfifth {-,=,+}
@attribute diatonicpitchsecond numeric
@attribute diatonicpitchsecondthird {-,=,+}
@attribute diatonicpitchthird numeric
@attribute diatonicpitchthirdfourth {-,=,+}
@attribute intervaldirfirstsecond {-,=,+}
@attribute intervaldirfourthfifth {-,=,+}
@attribute intervaldirsecondthird {-,=,+}
@attribute intervaldirthirdfourth {-,=,+}
@attribute intervalfifth numeric
@attribute intervalfirst numeric
@attribute intervalfourth numeric
@attribute intervalsecond numeric
@attribute intervalsizefirstsecond {-,=,+}
@attribute intervalsizefourthfifth {-,=,+}
@attribute intervalsizesecondthird {-,=,+}
@attribute intervalsizethirdfourth {-,=,+}
@attribute intervalthird numeric
@attribute isascending {True, False}
@attribute isdescending {True, False}
@attribute largetosmall {True, False}
@attribute midipitchfifth numeric
@attribute midipitchfirst numeric
@attribute midipitchfourth numeric
@attribute midipitchsecond numeric
@attribute midipitchthird numeric
@attribute registraldirectionchange {True, False}
@attribute scaledegreefifth numeric
@attribute scaledegreefirst numeric
@attribute scaledegreefourth numeric
@attribute scaledegreesecond numeric
@attribute scaledegreethird numeric
@attribute cadence_class {finalcadence, midcadence, nocadence}

@data
True,True,False,False,True,3,2,=,4,-,2,=,2,+,1,False,-,+,-,True,-,+,31,34,-,32,-,33,+,34,-,-,=,+,-,-2,1,-3,-1,=,-,=,+,1,False,False,False,67,72,69,71,72,True,4,7,5,6,7,nocadence
True,False,True,True,False,3,2,=,3,=,2,+,4,-,2,True,-,-,-,True,+,-,30,33,+,31,-,34,-,32,-,+,=,-,=,-2,-1,-2,1,=,=,+,-,-3,False,False,False,65,71,67,72,69,True,3,6,4,7,5,nocadence
False,True,True,False,True,2,2,+,3,-,4,-,3,=,3,True,-,+,-,False,-,-,29,34,-,30,-,32,-,31,-,-,=,=,=,-1,1,-2,-3,+,-,-,=,-2,False,True,False,64,72,65,69,67,False,2,7,3,5,4,nocadence
True,False,False,True,True,3,4,-,2,+,3,=,3,-,2,False,-,-,-,False,-,-,28,32,-,29,-,31,-,30,-,=,=,=,=,-2,-3,-1,-2,-,+,=,-,-2,False,True,False,62,69,64,67,65,False,1,5,2,4,3,nocadence
False,True,True,True,False,6,3,=,3,+,3,-,2,+,2,False,+,-,-,False,-,-,32,31,-,28,+,30,-,29,-,=,+,=,=,7,-2,-2,-2,=,+,-,+,-1,False,True,False,69,67,62,65,64,False,5,4,1,3,2,nocadence
True,True,False,False,True,3,3,-,6,-,2,+,3,+,2,False,-,-,+,False,-,-,31,30,-,32,-,29,-,28,+,=,-,=,+,-2,-2,7,-1,-,-,+,+,-2,False,True,False,67,65,69,64,62,False,4,3,5,2,1,midcadence
True,False,True,True,False,3,2,+,3,=,3,+,6,-,4,True,-,-,-,True,-,+,30,29,-,31,-,28,+,32,-,=,=,+,-,-2,-1,-2,-2,+,=,+,-,7,False,False,False,65,64,67,62,69,True,3,2,4,1,5,nocadence
False,True,True,False,True,2,3,+,3,-,6,-,3,=,4,True,-,-,-,True,+,-,29,28,+,30,-,32,-,31,-,+,=,-,=,-1,-2,-2,7,+,-,-,=,-2,False,False,True,64,62,65,69,67,True,2,1,3,5,4,nocadence
True,False,False,True,True,3,6,-,2,+,3,=,3,-,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,7,-1,-2,-,+,=,-,-2,False,True,False,62,69,64,67,65,False,1,5,2,4,3,nocadence
True,True,True,True,False,3,3,=,3,=,3,-,2,+,2,False,-,-,-,False,-,-,27,31,-,28,-,30,-,29,-,=,=,=,=,-2,-2,-2,-2,=,=,-,+,-1,False,True,False,60,67,62,65,64,False,7,4,1,3,2,nocadence
False,True,True,False,True,4,3,-,3,+,2,+,3,=,2,False,+,-,-,False,-,-,32,30,-,27,+,29,-,28,-,=,+,=,=,9,-2,-2,-1,-,+,+,=,-2,False,True,False,69,65,60,64,62,False,5,3,7,2,1,nocadence
True,False,False,True,True,5,2,+,4,+,3,=,3,+,2,False,-,-,+,False,-,-,30,29,-,32,-,28,-,27,+,=,-,=,+,-4,-1,9,-2,+,-,=,+,-2,False,True,False,65,64,69,62,60,False,3,2,5,1,7,midcadence
False,True,True,True,False,6,3,=,5,+,3,+,4,+,5,True,+,-,-,True,-,+,34,28,-,30,+,27,+,32,-,=,+,+,-,7,-2,-4,-2,=,+,+,-,9,False,False,False,72,62,65,60,69,True,7,1,3,7,5,nocadence
False,True,False,False,True,4,3,+,6,-,4,+,5,+,5,True,-,-,+,True,+,-,32,27,+,34,-,32,-,30,+,+,-,-,+,-3,-2,7,9,+,-,-,+,-4,False,False,True,69,60,72,69,65,True,5,7,7,5,3,nocadence
True,False,False,True,False,3,4,+,4,-,5,+,6,-,4,True,-,+,-,True,-,+,31,32,-,32,-,30,+,34,-,-,=,+,-,-2,9,-3,-4,-,-,+,-,7,False,False,False,67,69,69,65,72,True,4,5,5,3,7,nocadence
True,True,True,False,False,3,5,+,3,=,6,-,4,-,4,True,-,-,-,True,+,-,30,30,+,31,-,34,-,32,-,+,=,-,=,-2,-4,-2,7,+,=,-,-,-3,False,False,True,65,65,67,72,69,True,3,3,4,7,5,nocadence
False,False,True,False,True,3,6,-,3,=,4,-,3,=,3,True,+,+,-,False,-,-,31,34,-,30,+,32,-,31,-,-,+,=,=,2,7,-2,-3,-,=,-,=,-2,False,True,False,67,72,65,69,67,False,4,7,3,5,4,nocadence
False,False,False,True,True,3,4,-,3,=,3,=,3,=,2,False,+,-,+,False,-,-,32,32,-,31,+,31,-,30,+,=,=,=,+,2,-3,2,-2,-,=,=,=,-2,False,True,False,69,69,67,67,65,False,5,5,4,4,3,nocadence
True,True,False,True,False,3,3,=,3,=,3,=,3,=,1,False,-,-,+,True,-,+,31,31,-,32,-,30,+,31,+,=,-,+,=,-2,-2,2,-2,=,=,=,=,2,False,False,False,67,67,69,65,67,True,4,4,5,3,4,nocadence
True,True,True,False,False,3,3,=,3,=,3,=,3,=,2,False,-,-,-,False,+,+,30,30,+,31,-,31,+,32,-,+,=,=,-,-2,-2,-2,2,=,=,=,=,2,True,False,False,65,65,67,67,69,False,3,3,4,4,5,midcadence
False,False,True,False,True,2,3,=,3,-,3,=,3,=,1,False,-,+,-,True,+,-,29,31,+,30,-,32,-,31,-,=,=,-,=,-1,2,-2,2,=,-,=,=,-2,False,False,False,64,67,65,69,67,True,2,4,3,5,4,nocadence
True,False,False,True,True,3,3,=,2,+,3,=,3,-,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,2,-1,-2,=,+,=,-,-2,False,True,False,62,69,64,67,65,False,1,5,2,4,3,nocadence
True,True,True,True,False,3,3,=,3,=,3,-,2,+,2,False,-,-,-,False,-,-,27,31,-,28,-,30,-,29,-,=,=,=,=,-2,-2,-2,-2,=,=,-,+,-1,False,True,False,60,67,62,65,64,False,7,4,1,3,2,nocadence
True,True,True,False,True,6,3,-,3,+,2,+,3,=,2,False,+,-,-,False,-,-,30,30,-,27,+,29,-,28,-,=,+,=,=,5,-2,-2,-1,-,+,+,=,-2,False,True,False,65,65,60,64,62,False,3,3,7,2,1,nocadence
False,False,True,True,True,2,2,+,6,-,3,=,3,+,2,False,-,-,+,False,-,-,29,29,-,30,-,28,-,27,+,=,-,=,+,-1,-1,5,-2,+,-,=,+,-2,False,True,False,64,64,65,62,60,False,2,2,3,1,7,nocadence
True,True,False,True,True,3,3,=,2,+,3,+,6,-,3,True,-,-,-,True,-,+,28,28,-,29,-,27,+,30,-,=,=,+,-,-2,-2,-1,-2,=,+,+,-,5,False,False,False,62,62,64,60,65,True,1,1,2,7,3,nocadence
False,True,True,True,False,2,3,+,3,-,6,-,2,+,3,True,-,-,-,True,+,-,27,27,+,28,-,30,-,29,-,+,=,-,=,-1,-2,-2,5,+,-,-,+,-1,False,False,False,61,60,62,65,64,True,7,7,1,3,2,nocadence
True,True,False,False,True,2,6,-,2,=,2,+,3,-,2,False,+,+,-,False,-,-,28,30,-,27,+,29,-,28,-,-,+,=,=,1,5,-1,-1,-,=,+,-,-2,False,True,False,62,65,61,64,62,False,1,3,7,2,1,nocadence
?,False,True,True,False,?,2,+,2,?,3,-,2,=,2,False,?,-,+,False,-,-,?,29,-,28,?,28,-,27,+,=,?,=,+,?,-1,1,-2,+,?,-,=,-1,False,True,False,?,64,62,62,61,False,?,2,1,1,7,nocadence
True,False,False,True,False,2,?,?,3,-,5,-,3,=,2,True,+,?,+,True,-,+,31,30,-,30,+,28,+,29,+,=,=,+,=,1,0,2,-4,=,-,-,=,2,False,False,False,70,69,69,65,67,True,4,3,3,1,2,nocadence
False,True,True,False,False,3,5,-,2,+,3,=,3,-,2,False,+,-,+,False,+,+,32,28,+,31,+,29,+,30,+,+,=,=,=,2,-4,1,2,-,+,=,-,2,True,False,False,72,65,70,67,69,False,5,1,4,2,3,nocadence
True,False,False,False,True,3,3,=,3,=,3,-,2,+,2,False,-,+,+,False,+,+,31,29,+,32,-,30,+,31,+,=,-,=,=,-2,2,2,2,=,=,-,+,1,True,False,False,70,67,72,69,70,False,4,2,5,3,4,nocadence
False,False,True,True,False,2,3,-,3,-,2,+,3,=,2,False,-,+,-,False,+,+,30,30,+,31,-,31,+,32,-,=,=,=,-,-1,2,-2,1,-,-,+,=,2,True,False,False,69,69,70,70,72,False,3,3,4,4,5,nocadence
False,True,False,False,True,0,2,+,2,-,3,=,3,-,1,False,=,+,-,True,+,-,30,31,+,30,=,32,-,31,-,=,+,-,=,0,1,-1,2,+,-,=,-,-2,False,False,False,69,70,69,72,70,True,3,4,3,5,4,nocadence
True,False,False,True,False,2,3,=,0,+,3,-,2,-,2,False,+,+,=,False,-,-,31,32,-,30,+,31,-,30,=,-,+,=,+,1,2,0,-2,=,+,-,-,-1,False,True,False,70,72,69,70,69,False,4,5,3,4,3,midcadence
False,True,True,False,False,3,3,-,2,+,2,-,0,+,1,False,+,-,+,False,-,=,32,31,-,31,+,30,=,30,+,=,=,+,+,2,-2,1,-1,-,+,-,+,0,False,False,False,72,70,70,69,69,True,5,4,4,3,3,nocadence
False,False,False,False,True,0,2,-,3,-,0,+,2,+,1,False,=,-,+,False,=,+,32,30,=,32,=,30,+,31,+,+,-,+,=,0,-1,2,0,-,-,+,+,1,False,False,False,72,69,72,69,70,True,5,3,5,3,4,nocadence
False,False,False,True,False,6,0,+,0,+,2,+,3,-,2,False,-,=,=,False,+,+,29,30,+,32,-,31,+,32,=,+,-,=,-,-5,0,0,1,+,+,+,-,2,True,False,False,67,69,72,70,72,False,2,3,5,4,5,nocadence
False,True,False,False,False,3,2,+,6,-,3,-,0,+,1,False,+,+,-,False,+,=,30,31,+,29,+,32,=,32,-,=,+,-,-,2,1,-5,2,+,-,-,+,0,False,False,False,69,70,67,72,72,True,3,4,2,5,5,nocadence
True,False,False,False,False,3,3,-,3,=,0,+,6,-,3,True,-,+,+,False,=,-,29,32,=,30,-,32,-,29,+,-,-,-,+,-2,2,2,0,-,=,+,-,-5,False,False,False,67,72,69,72,67,True,2,5,3,5,2,nocadence
True,False,True,False,False,3,0,+,3,=,6,-,3,=,3,True,-,=,-,True,-,+,28,32,-,29,-,29,+,30,-,-,=,+,-,-2,0,-2,-5,+,=,-,=,2,False,False,False,65,72,67,67,69,True,1,5,2,2,3,nocadence
False,False,True,False,True,2,6,-,3,-,3,=,3,=,1,False,-,-,-,True,+,-,27,29,+,28,-,30,-,29,-,+,=,-,=,-1,-5,-2,2,-,-,=,=,-2,False,False,False,64,67,65,69,67,True,7,2,1,3,2,nocadence
True,False,False,True,True,5,3,=,2,+,3,=,3,-,2,False,-,+,-,False,-,-,25,30,-,27,-,29,-,28,-,-,=,=,=,-4,2,-1,-2,=,+,=,-,-2,False,True,False,60,69,64,67,65,False,5,3,7,2,1,nocadence
True,True,True,True,False,6,3,=,5,+,3,-,2,+,2,False,+,-,-,False,-,-,28,29,-,25,+,28,-,27,-,=,+,=,=,5,-2,-4,-2,=,+,-,+,-1,False,True,False,65,67,60,65,64,False,1,2,5,1,7,midcadence
False,True,True,False,True,3,3,-,6,-,2,+,5,+,3,True,+,-,+,False,-,-,29,28,-,28,+,27,-,25,+,=,=,=,+,2,-2,5,-1,-,-,+,+,-4,False,True,False,67,65,65,64,60,False,2,1,1,7,5,nocadence
False,False,False,True,True,3,2,+,3,=,5,+,6,-,3,True,+,-,+,True,-,+,30,27,-,29,+,25,+,28,+,=,=,+,=,2,-1,2,-4,+,=,+,-,5,False,False,False,69,64,67,60,65,True,3,7,2,5,1,nocadence
True,True,False,True,False,2,5,+,3,-,6,-,3,=,4,True,+,-,+,False,+,+,31,25,+,30,+,28,+,29,+,+,=,=,=,1,-4,2,5,+,-,-,=,2,True,False,False,70,60,69,65,67,False,4,5,3,1,2,nocadence
False,True,True,False,False,3,6,-,2,+,3,=,3,-,2,False,+,+,+,False,+,+,32,28,+,31,+,29,+,30,+,=,=,=,=,2,5,1,2,-,+,=,-,2,True,False,False,72,65,70,67,69,False,5,1,4,2,3,nocadence
True,False,False,False,True,3,3,=,3,=,3,-,2,+,2,False,-,+,+,False,+,+,31,29,+,32,-,30,+,31,+,=,-,=,=,-2,2,2,2,=,=,-,+,1,True,False,False,70,67,72,69,70,False,4,2,5,3,4,nocadence
False,False,True,True,False,2,3,-,3,-,2,+,3,=,2,False,-,+,-,False,+,+,30,30,+,31,-,31,+,32,-,=,=,=,-,-1,2,-2,1,-,-,+,=,2,True,False,False,69,69,70,70,72,False,3,3,4,4,5,nocadence
True,True,False,False,True,3,2,+,2,+,3,=,3,-,1,False,-,+,-,True,+,-,29,31,+,30,-,32,-,31,-,=,=,-,=,-2,1,-1,2,+,+,=,-,-2,False,False,False,67,70,69,72,70,True,2,4,3,5,4,nocadence
False,False,True,True,False,3,3,=,3,=,3,-,2,+,2,False,+,+,-,False,-,-,30,32,-,29,+,31,-,30,-,-,+,=,=,2,2,-2,-2,=,=,-,+,-1,False,True,False,69,72,67,70,69,False,3,5,2,4,3,nocadence
True,True,False,False,True,5,3,-,3,+,2,+,3,=,2,False,-,-,+,False,-,-,28,31,-,30,-,30,-,29,+,=,-,=,+,-4,-2,2,-1,-,+,+,=,-2,False,True,False,65,70,69,69,67,False,1,4,3,3,2,midcadence
False,False,True,True,False,3,2,+,5,-,3,=,3,+,1,False,+,-,-,True,-,+,29,30,-,28,+,29,+,30,-,=,+,+,-,2,-1,-4,-2,+,-,=,+,2,False,False,False,67,69,65,67,69,True,2,3,1,2,3,nocadence
False,True,False,False,True,3,3,=,3,=,3,+,5,-,2,True,+,-,+,True,+,-,30,29,+,29,+,30,-,28,+,+,=,-,+,2,-2,2,2,=,=,+,-,-4,False,False,False,69,67,67,69,65,True,3,2,2,3,1,nocadence
True,False,False,True,False,2,3,+,3,-,5,-,3,=,2,True,+,+,+,True,-,+,31,30,-,30,+,28,+,29,+,-,=,+,=,1,2,2,-4,+,-,-,=,2,False,False,False,70,69,69,65,67,True,4,3,3,1,2,nocadence
False,True,True,False,False,3,5,-,2,+,3,=,3,-,2,False,+,-,+,False,+,+,32,28,+,31,+,29,+,30,+,+,=,=,=,2,-4,1,2,-,+,=,-,2,True,False,False,72,65,70,67,69,False,5,1,4,2,3,nocadence
True,False,False,False,True,3,3,=,3,=,3,-,2,+,2,False,-,+,+,False,+,+,31,29,+,32,-,30,+,31,+,=,-,=,=,-2,2,2,2,=,=,-,+,1,True,False,False,70,67,72,69,70,False,4,2,5,3,4,nocadence
False,False,True,True,False,2,3,-,3,-,2,+,3,=,2,False,-,+,-,False,+,+,30,30,+,31,-,31,+,32,-,=,=,=,-,-1,2,-2,1,-,-,+,=,2,True,False,False,69,69,70,70,72,False,3,3,4,4,5,nocadence
False,True,False,False,True,0,2,+,2,-,3,=,3,-,1,False,=,+,-,True,+,-,30,31,+,30,=,32,-,31,-,=,+,-,=,0,1,-1,2,+,-,=,-,-2,False,False,False,69,70,69,72,70,True,3,4,3,5,4,nocadence
True,False,False,True,False,2,3,=,0,+,3,-,2,-,2,False,+,+,=,False,-,-,31,32,-,30,+,31,-,30,=,-,+,=,+,1,2,0,-2,=,+,-,-,-1,False,True,False,70,72,69,70,69,False,4,5,3,4,3,midcadence
False,True,True,False,False,3,3,-,2,+,2,-,0,+,1,False,+,-,+,False,-,=,32,31,-,31,+,30,=,30,+,=,=,+,+,2,-2,1,-1,-,+,-,+,0,False,False,False,72,70,70,69,69,True,5,4,4,3,3,nocadence
False,False,False,False,True,0,2,-,3,-,0,+,2,+,1,False,=,-,+,False,=,+,32,30,=,32,=,30,+,31,+,+,-,+,=,0,-1,2,0,-,-,+,+,1,False,False,False,72,69,72,69,70,True,5,3,5,3,4,nocadence
False,False,False,True,False,6,0,+,0,+,2,+,3,-,2,False,-,=,=,False,+,+,29,30,+,32,-,31,+,32,=,+,-,=,-,-5,0,0,1,+,+,+,-,2,True,False,False,67,69,72,70,72,False,2,3,5,4,5,nocadence
False,True,False,False,False,3,2,+,6,-,3,-,0,+,1,False,+,+,-,False,+,=,30,31,+,29,+,32,=,32,-,=,+,-,-,2,1,-5,2,+,-,-,+,0,False,False,False,69,70,67,72,72,True,3,4,2,5,5,nocadence
True,False,False,False,False,3,3,-,3,=,0,+,6,-,3,True,-,+,+,False,=,-,29,32,=,30,-,32,-,29,+,-,-,-,+,-2,2,2,0,-,=,+,-,-5,False,False,False,67,72,69,72,67,True,2,5,3,5,2,nocadence
True,False,True,False,False,3,0,+,3,=,6,-,3,=,3,True,-,=,-,True,-,+,28,32,-,29,-,29,+,30,-,-,=,+,-,-2,0,-2,-5,+,=,-,=,2,False,False,False,65,72,67,67,69,True,1,5,2,2,3,nocadence
False,False,True,False,True,2,6,-,3,-,3,=,3,=,1,False,-,-,-,True,+,-,27,29,+,28,-,30,-,29,-,+,=,-,=,-1,-5,-2,2,-,-,=,=,-2,False,False,False,64,67,65,69,67,True,7,2,1,3,2,nocadence
True,False,False,True,True,5,3,=,2,+,3,=,3,-,2,False,-,+,-,False,-,-,25,30,-,27,-,29,-,28,-,-,=,=,=,-4,2,-1,-2,=,+,=,-,-2,False,True,False,60,69,64,67,65,False,5,3,7,2,1,nocadence
True,True,True,True,False,6,3,=,5,+,3,-,2,+,2,False,+,-,-,False,-,-,28,29,-,25,+,28,-,27,-,=,+,=,=,5,-2,-4,-2,=,+,-,+,-1,False,True,False,65,67,60,65,64,False,1,2,5,1,7,midcadence
False,True,True,False,True,3,3,-,6,-,2,+,5,+,3,True,+,-,+,False,-,-,29,28,-,28,+,27,-,25,+,=,=,=,+,2,-2,5,-1,-,-,+,+,-4,False,True,False,67,65,65,64,60,False,2,1,1,7,5,nocadence
False,False,False,True,True,3,2,+,3,=,5,+,6,-,3,True,+,-,+,True,-,+,30,27,-,29,+,25,+,28,+,=,=,+,=,2,-1,2,-4,+,=,+,-,5,False,False,False,69,64,67,60,65,True,3,7,2,5,1,nocadence
True,True,False,True,False,3,5,+,3,=,6,-,3,=,4,True,-,-,+,False,+,+,29,25,+,30,-,28,+,29,+,+,-,=,=,-2,-4,2,5,+,=,-,=,2,True,False,False,67,60,69,65,67,False,2,5,3,1,2,nocadence
False,True,True,False,False,3,6,-,3,=,3,=,3,=,2,False,+,+,-,False,+,+,30,28,+,29,+,29,+,30,-,=,+,=,-,2,5,-2,2,-,=,=,=,2,True,False,False,69,65,67,67,69,False,3,1,2,2,3,nocadence
True,False,False,False,True,2,3,=,3,-,3,=,3,=,1,False,+,+,+,True,+,-,31,29,+,30,+,30,-,29,+,=,=,-,+,1,2,2,2,=,-,=,=,-2,False,False,False,70,67,69,69,67,True,4,2,3,3,2,nocadence
False,False,True,True,False,2,3,=,2,=,3,=,3,-,1,False,-,+,+,True,-,+,30,30,-,31,-,29,+,30,+,-,-,+,=,-1,2,1,-2,=,=,=,-,2,False,False,False,69,69,70,67,69,True,3,3,4,2,3,nocadence
True,True,False,False,True,3,3,=,2,+,3,-,2,=,2,False,-,-,-,False,+,+,29,29,+,30,-,30,+,31,-,+,=,=,-,-2,-2,-1,2,=,+,-,=,1,True,False,False,67,67,69,69,70,False,2,2,3,3,4,nocadence
True,False,True,True,False,3,3,-,3,=,2,=,2,+,1,False,-,+,-,True,+,-,28,30,+,29,-,31,-,30,-,=,=,-,=,-2,2,-2,1,-,=,=,+,-1,False,False,False,65,69,67,70,69,True,1,3,2,4,3,nocadence
?,True,True,False,True,?,2,=,3,?,2,+,3,=,2,False,?,+,-,False,-,-,?,31,-,28,?,30,-,29,-,-,?,=,=,?,1,-2,-1,=,?,+,=,-2,False,True,False,?,70,65,69,67,False,?,4,1,3,2,nocadence
True,False,False,False,False,3,?,?,3,=,0,=,0,+,0,False,-,?,+,False,=,=,28,28,=,29,-,28,=,28,+,=,-,=,+,-2,0,2,0,=,=,=,+,0,False,False,False,67,67,69,67,67,False,1,1,2,1,1,nocadence
True,False,True,False,False,6,0,=,3,+,0,+,3,=,1,False,+,=,-,False,=,+,31,28,=,28,+,28,+,29,-,=,+,+,-,5,0,-2,0,=,+,+,=,2,False,False,False,72,67,67,67,69,True,4,1,1,1,2,nocadence
False,False,True,False,True,3,0,+,6,-,3,=,3,+,1,False,+,=,+,True,+,-,32,28,+,31,+,29,-,28,+,+,=,-,+,2,0,5,2,+,-,=,+,-2,False,False,False,74,67,72,69,67,True,5,1,4,2,1,nocadence
True,False,False,True,True,3,3,=,3,=,3,+,6,-,3,True,-,+,+,True,-,+,31,29,-,32,-,28,+,31,+,-,-,+,=,-2,2,2,-2,=,=,+,-,5,False,False,False,72,69,74,67,72,True,4,2,5,1,4,nocadence
False,True,True,True,False,2,3,+,3,-,6,-,3,=,4,True,-,-,-,False,+,+,30,28,+,31,-,31,+,32,-,+,=,=,-,-1,-2,-2,5,+,-,-,=,2,True,False,False,71,67,72,72,74,False,3,1,4,4,5,nocadence
True,True,False,False,True,2,6,-,2,=,3,=,3,-,1,False,+,+,-,True,+,-,31,31,+,30,+,32,-,31,-,=,+,-,=,1,5,-1,2,-,=,=,-,-2,False,False,False,72,72,71,74,72,True,4,4,3,5,4,midcadence
False,False,True,True,False,3,3,=,2,+,3,-,2,=,2,False,+,+,+,False,-,-,32,32,-,31,+,31,-,30,+,-,=,=,+,2,2,1,-2,=,+,-,=,-1,False,True,False,74,74,72,72,71,False,5,5,4,4,3,nocadence
False,True,False,False,True,3,3,-,3,=,2,=,2,+,1,False,+,-,+,True,-,+,33,31,-,32,+,30,+,31,+,=,=,+,=,2,-2,2,-1,-,=,=,+,1,False,False,False,76,72,74,71,72,True,6,4,5,3,4,nocadence
True,False,False,True,False,3,2,=,3,=,2,+,3,=,2,False,-,-,+,False,+,+,32,30,+,33,-,31,+,32,+,+,-,=,=,-2,-1,2,1,=,=,+,=,2,True,False,False,74,71,76,72,74,False,5,3,6,4,5,nocadence
True,True,True,False,False,3,2,+,3,=,3,=,3,=,2,False,-,+,-,False,+,+,31,31,+,32,-,32,+,33,-,=,=,=,-,-2,1,-2,2,+,=,=,=,2,True,False,False,72,72,74,74,76,False,4,4,5,5,6,nocadence
False,False,True,False,True,2,3,=,3,-,3,=,3,=,1,False,-,+,-,True,+,-,30,32,+,31,-,33,-,32,-,=,=,-,=,-1,2,-2,2,=,-,=,=,-2,False,False,False,71,74,72,76,74,True,3,5,4,6,5,nocadence
True,False,False,True,True,3,3,=,2,+,3,=,3,-,2,False,-,+,-,False,-,-,29,33,-,30,-,32,-,31,-,-,=,=,=,-2,2,-1,-2,=,+,=,-,-2,False,True,False,69,76,71,74,72,False,2,6,3,5,4,nocadence
True,True,True,True,False,3,3,=,3,=,3,-,2,+,2,False,-,-,-,False,-,-,28,32,-,29,-,31,-,30,-,=,=,=,=,-2,-2,-2,-2,=,=,-,+,-1,False,True,False,67,74,69,72,71,False,1,5,2,4,3,nocadence
False,True,True,False,True,0,3,-,3,-,2,+,3,=,2,False,=,-,-,False,-,-,28,31,-,28,=,30,-,29,-,=,+,=,=,0,-2,-2,-1,-,-,+,=,-2,False,True,False,67,72,67,71,69,False,1,4,1,3,2,nocadence
True,False,False,True,True,6,2,+,0,+,3,=,3,-,2,False,+,-,=,False,-,-,31,30,-,28,+,29,-,28,=,=,+,=,+,5,-1,0,-2,+,+,=,-,-2,False,True,False,72,71,67,69,67,False,4,3,1,2,1,midcadence
False,True,True,True,False,2,3,=,6,-,3,-,0,+,1,False,-,-,+,False,-,=,30,29,-,31,-,28,=,28,+,=,-,+,+,-1,-2,5,-2,=,-,-,+,0,False,False,False,71,69,72,67,67,True,3,2,4,1,1,nocadence
True,True,False,False,True,2,3,-,2,=,0,+,6,-,3,True,+,-,-,False,=,+,31,28,=,30,+,28,+,31,-,+,+,+,-,1,-2,-1,0,-,=,+,-,5,False,False,False,72,67,71,67,72,True,4,1,3,1,4,nocadence
False,False,True,True,False,3,0,+,2,+,6,-,2,=,3,True,+,=,+,True,+,-,32,28,+,31,+,31,-,30,+,+,=,-,+,2,0,1,5,+,+,-,=,-1,False,False,False,74,67,72,72,71,True,5,1,4,4,3,nocadence
False,True,False,False,True,6,6,-,3,+,2,=,2,+,1,False,-,+,+,True,-,+,29,31,-,32,-,30,+,31,+,-,-,+,=,-5,5,2,-1,-,+,=,+,1,False,False,False,69,72,74,71,72,True,2,4,5,3,4,nocadence
True,False,False,True,False,3,2,=,6,-,2,+,3,+,2,False,-,-,-,False,+,+,28,30,+,29,-,31,+,32,-,+,=,=,-,-2,-1,-5,1,=,-,+,+,2,True,False,False,67,71,69,72,74,False,1,3,2,4,5,nocadence
False,True,True,False,False,2,2,+,3,-,3,+,6,-,3,True,-,+,-,True,+,-,27,31,+,28,-,32,-,29,-,=,=,-,=,-1,1,-2,2,+,-,+,-,-5,False,False,False,66,72,67,74,69,True,7,4,1,5,2,nocadence
True,False,False,False,True,3,3,+,2,+,6,-,3,-,4,True,-,+,-,False,-,-,26,32,-,27,-,29,-,28,-,-,=,=,=,-2,2,-1,-5,+,+,-,-,-2,False,True,False,64,74,66,69,67,False,6,5,7,2,1,nocadence
True,False,True,True,False,3,6,-,3,=,3,-,2,+,2,False,-,-,-,False,-,-,25,29,-,26,-,28,-,27,-,=,=,=,=,-2,-5,-2,-2,-,=,-,+,-1,False,True,False,62,69,64,67,66,False,5,2,6,1,7,nocadence
False,True,True,False,True,0,3,-,3,-,2,+,3,=,2,False,=,-,-,False,-,-,25,28,-,25,=,27,-,26,-,=,+,=,=,0,-2,-2,-1,-,-,+,=,-2,False,True,False,62,67,62,66,64,False,5,1,5,7,6,nocadence
False,False,False,True,True,6,2,+,0,+,3,=,3,-,2,False,+,-,=,False,-,-,29,27,-,25,+,26,-,25,=,=,+,=,+,7,-1,0,-2,+,+,=,-,-2,False,True,False,69,66,62,64,62,False,2,7,5,6,5,midcadence
